"question","answer","category","tier"
"What is GitHub Actions?","GitHub's built-in CI/CD tool that runs workflows, like tests and deployments, on events such as a push.","Git","1"
"How do you add a condition to a list comprehension?","Append an if clause at the end: [x for x in nums if x > 0] keeps only items passing the test.","Python","2"
"What is a dict comprehension?","Like a list comprehension but builds a dictionary: {k: v for k, v in pairs}, using key colon value syntax inside curly braces.","Python","2"
"What is a set comprehension?","Curly-brace comprehension producing a set: {x.lower() for x in words}. Duplicates are automatically removed from the result.","Python","2"
"What is a generator expression?","A comprehension in parentheses that yields items lazily one at a time, saving memory: sum(x*x for x in nums).","Python","2"
"What can a lambda not contain?","Statements like assignments, loops, or multiple lines. It is limited to a single expression; use def for anything longer.","Python","2"
"What does the key argument in sorted() do?","Provides a function applied to each item to get its sort value, like sorted(users, key=lambda u: u.name).","Python","2"
"What is a class in Python?","A blueprint bundling data (attributes) and behavior (methods) together. Instances of the class are objects created by calling it.","Python","2"
"What is self in a method?","The first parameter of instance methods, referring to the object itself, letting the method read and set that instance attributes.","Python","2"
"Instance attribute vs class attribute?","Instance attributes belong to one object, set via self. Class attributes are shared by all instances of the class.","Python","2"
"What is the difference between a method and a function?","A method is a function defined inside a class and called on an object, automatically receiving the instance as self.","Python","2"
"What does super() do?","Calls a method from the parent class, commonly super().__init__() to run the parent initializer inside a subclass.","Python","2"
"__str__ vs __repr__?","__str__ returns a user-friendly string for print; __repr__ returns an unambiguous developer-facing representation used in debugging.","Python","2"
"What are dunder methods?","Double-underscore methods like __len__ or __eq__ that let your objects work with built-in syntax and functions.","Python","2"
"What is a @staticmethod?","A method inside a class that receives no self or cls; it is just a plain function grouped with the class.","Python","2"
"What is a @classmethod?","A method receiving the class (cls) instead of an instance, often used as an alternative constructor like from_dict.","Python","2"
"What does the @property decorator do?","Lets a method be accessed like an attribute, so obj.total runs code without parentheses, useful for computed values.","Python","2"
"What is the else clause on try/except?","Code that runs only if no exception occurred in the try block, keeping the happy path separate from error handling.","Python","2"
"When do you get a KeyError?","When accessing a dictionary key that does not exist, like d['missing']. Use d.get() to avoid it.","Python","2"
"When do you get a TypeError?","When an operation is applied to the wrong type, like adding a string to an integer or calling a non-callable.","Python","2"
"When do you get a NameError?","When you reference a variable or name that has not been defined yet in the current scope.","Python","2"
"When do you get a ValueError?","When a value has the right type but is invalid, like int('abc') failing to parse a non-numeric string.","Python","2"
"When do you get an IndexError?","When accessing a list position that does not exist, like items[10] on a three-item list.","Python","2"
"When do you get an AttributeError?","When accessing an attribute or method an object does not have, often from a None value, like None.strip().","Python","2"
"What causes ModuleNotFoundError?","Importing a module Python cannot find, usually because the package is not installed or the environment is wrong.","Python","2"
"When is ZeroDivisionError raised?","When dividing by zero with / or //. Guard the denominator or catch the exception before dividing.","Python","2"
"How do you make a custom exception?","Define a class inheriting from Exception, like class PaymentError(Exception), then raise it where needed.","Python","2"
"How do you catch multiple exception types in one except?","Use a tuple: except (KeyError, TypeError) as e. Both exception types run the same handler block.","Python","2"
"What does the with statement do?","Runs setup and guaranteed cleanup around a block, like with open(f) as fh, closing the file even on errors.","Python","2"
"What is a context manager?","Any object with __enter__ and __exit__ methods, usable in a with statement to manage setup and cleanup automatically.","Python","2"
"What does @contextmanager from contextlib do?","Turns a generator function with one yield into a context manager, so you can write with statements without a full class.","Python","2"
"What happens when zip() gets unequal-length inputs?","It stops at the shortest iterable, silently dropping extra items; use itertools.zip_longest to keep them.","Python","2"
"What is slicing syntax?","seq[start:stop:step] returns a portion of a sequence; stop is excluded, like items[1:4] giving indexes 1 to 3.","Python","2"
"What does a negative index mean?","Counts from the end: items[-1] is the last element, items[-2] the second to last.","Python","2"
"What does seq[::-1] do?","Returns a reversed copy of the sequence by slicing with a step of minus one.","Python","2"
"Mutable vs immutable objects?","Mutable objects like lists and dicts can change in place; immutable ones like strings and tuples cannot be modified after creation.","Python","2"
"Name common immutable types.","Strings, tuples, integers, floats, booleans, and frozensets. Any change creates a new object rather than editing the original.","Python","2"
"Why are mutable default arguments risky?","The default is created once and shared between calls, so def f(x, items=[]) accumulates values across calls. Use None instead.","Python","2"
"Tuple vs list: when to use a tuple?","Use a tuple for fixed, immutable groupings like coordinates or dict keys; lists for collections that change.","Python","2"
"What does *args do?","Collects extra positional arguments into a tuple, letting a function accept any number of positional inputs.","Python","2"
"What does **kwargs do?","Collects extra keyword arguments into a dictionary, letting a function accept arbitrary named parameters.","Python","2"
"What does * do when calling a function, like f(*items)?","Unpacks a sequence into separate positional arguments; **d similarly unpacks a dict into keyword arguments.","Python","2"
"What are keyword-only arguments?","Parameters after a bare * in the signature that callers must pass by name, improving call-site clarity.","Python","2"
"What is a decorator?","A function that wraps another function to add behavior, applied with @name above the definition, like logging or timing.","Python","2"
"What does the @decorator syntax actually do?","It is shorthand for func = decorator(func): the function is passed to the decorator and replaced by its return value.","Python","2"
"Why use functools.wraps in a decorator?","It copies the wrapped function name and docstring onto the wrapper, keeping introspection and debugging output correct.","Python","2"
"json.load vs json.loads?","load reads JSON from a file object; loads parses JSON from a string. Both return Python dicts and lists.","Python","2"
"What does json.dumps do?","Serializes Python objects to a JSON string; indent makes it pretty, and default handles non-serializable types.","Python","2"
"How do you read an environment variable in Python?","os.environ['NAME'] or os.getenv('NAME', default). getenv returns None or the default instead of raising when missing.","Python","2"
"Why prefer pathlib over os.path?","pathlib gives object-oriented paths with / joining, methods like exists() and read_text(), cleaner than string-based os.path calls.","Python","2"
"What is pathlib.Path?","A class representing filesystem paths; Path('data') / 'file.txt' joins paths and offers reading, writing, and inspection methods.","Python","2"
"What does Path.glob('*.pdf') do?","Returns matching files in that directory by pattern; rglob searches recursively through subdirectories too.","Python","2"
"Why prefer timezone-aware datetimes?","Naive datetimes lack timezone info and cause bugs across regions; use datetime.now(timezone.utc) for unambiguous timestamps.","Python","2"
"strftime vs strptime?","strftime formats a datetime into a string; strptime parses a string into a datetime using the same format codes.","Python","2"
"What is a timedelta?","A duration object for date math, like datetime.now() + timedelta(days=7) to get next week.","Python","2"
"What does async def declare?","A coroutine function; calling it returns a coroutine object that must be awaited or scheduled, not run directly.","Python","2"
"What does await do?","Pauses the coroutine until the awaited async operation finishes, letting the event loop run other tasks meanwhile.","Python","2"
"What does asyncio.run() do?","Starts the event loop, runs the given coroutine to completion, and closes the loop; the usual async entry point.","Python","2"
"What is the event loop?","The scheduler that runs async tasks, switching between them at await points so I/O waits do not block other work.","Python","2"
"What does asyncio.gather do?","Runs multiple coroutines concurrently and returns their results as a list once all complete.","Python","2"
"What blocks the event loop?","Synchronous slow calls like time.sleep or blocking HTTP requests inside async code; they freeze all other tasks.","Python","2"
"What makes a function a generator?","Containing yield. Calling it returns a generator that produces values one at a time as you iterate.","Python","2"
"Why use generators?","They produce items lazily, so you can process large or infinite sequences without loading everything into memory.","Python","2"
"What does next() do on a generator?","Advances it to the next yield and returns that value; raises StopIteration when the generator is exhausted.","Python","2"
"What is StopIteration?","The exception signaling an iterator has no more items; for loops catch it automatically to end iteration.","Python","2"
"Iterator vs iterable?","An iterable can produce an iterator (via iter()); an iterator holds position and yields items one by one via next().","Python","2"
"Why is range() memory-efficient?","It computes values lazily on demand rather than storing them, so range(10**9) uses almost no memory.","Python","2"
"What does f'{value:.2f}' do?","Formats the number with two decimal places inside an f-string; format specs follow a colon.","Python","2"
"What does ', '.join(items) do?","Concatenates a list of strings with the separator between them; faster and cleaner than += in a loop.","Python","2"
"split() vs strip()?","split breaks a string into a list by a separator; strip removes leading and trailing whitespace or given characters.","Python","2"
"What does dict.get('k', default) do?","Returns the value for the key, or the default (None if omitted) instead of raising KeyError when missing.","Python","2"
"How do you loop over a dict keys and values together?","for key, value in d.items(). Use d.keys() or d.values() when you need only one side.","Python","2"
"What does collections.defaultdict do?","A dict that auto-creates missing values from a factory, like defaultdict(list) letting you append without checking keys first.","Python","2"
"What does collections.Counter do?","Counts occurrences in an iterable, returning a dict-like object with most_common() for the top items.","Python","2"
"What is a namedtuple?","A tuple subclass with named fields, like Point(x=1, y=2), giving readable attribute access while staying immutable.","Python","2"
"What does @dataclass do?","Auto-generates __init__, __repr__, and __eq__ from typed class attributes, reducing boilerplate for data-holding classes.","Python","2"
"What are type hints?","Optional annotations like def f(name: str) -> int that document expected types and let tools catch mistakes; not enforced at runtime.","Python","2"
"What does Optional[str] mean?","The value may be a str or None; equivalent to str | None in modern Python.","Python","2"
"How do you hint a list of strings in modern Python?","list[str] using built-in generics (Python 3.9+); older code uses List[str] from the typing module.","Python","2"
"Is None the same as falsy?","No. None is one falsy value, but 0, empty strings, and empty lists are also falsy; test None with is None.","Python","2"
"is vs == in Python?","== compares values for equality; is checks whether two names point to the same object, used mainly for None checks.","Python","2"
"Shallow vs deep copy?","Shallow copy duplicates the outer container but shares nested objects; deep copy recursively duplicates everything inside too.","Python","2"
"When do you need copy.deepcopy?","When copying nested structures you will mutate, so changes to inner lists or dicts do not affect the original.","Python","2"
"What is the LEGB rule?","Name lookup order: Local, Enclosing, Global, Built-in. Python searches these scopes in order when resolving a variable.","Python","2"
"Module vs package?","A module is a single .py file; a package is a directory of modules, importable as a namespace.","Python","2"
"What does __init__.py do?","Marks a directory as a package and runs on import; often used to expose a clean public API.","Python","2"
"What is the ternary expression syntax?","value_if_true if condition else value_if_false, like status = 'ok' if code == 200 else 'error'.","Python","2"
"What do any() and all() do?","any returns True if at least one item is truthy; all returns True only if every item is truthy.","Python","2"
"What do map() and filter() do?","map applies a function to every item; filter keeps items where the function returns True. Comprehensions are often clearer.","Python","2"
"What is pytest and why use it?","A popular testing framework using plain assert statements and auto-discovered test_ functions, with fixtures for setup and teardown.","Python","2"
"Path parameter vs query parameter?","Path parameters identify a resource in the URL path (/items/42); query parameters filter or modify, after the question mark (?limit=10).","APIs","2"
"How do you declare a path parameter in FastAPI?","Put it in braces in the route and the signature: @app.get('/items/{item_id}') with item_id: int for automatic conversion.","APIs","2"
"How does FastAPI recognize a query parameter?","Any function parameter not in the path becomes a query parameter; a default value makes it optional.","APIs","2"
"How does FastAPI receive a request body?","Declare a parameter typed as a Pydantic model; FastAPI parses the JSON body, validates it, and passes the model instance.","APIs","2"
"What is Pydantic BaseModel used for?","Defining data shapes with typed fields; it parses and validates incoming data and serializes outgoing responses automatically.","APIs","2"
"What happens when Pydantic validation fails in FastAPI?","FastAPI returns a 422 Unprocessable Entity response with details about which fields failed and why.","APIs","2"
"What does Pydantic Field() add?","Per-field constraints and metadata, like Field(gt=0, max_length=50, description='...'), enforced during validation and shown in docs.","APIs","2"
"What does response_model do in FastAPI?","Declares the output schema; FastAPI filters the response to those fields, validates it, and documents it in OpenAPI.","APIs","2"
"What is Depends() in FastAPI?","Dependency injection: FastAPI calls the dependency function and passes its result into the endpoint, sharing logic like auth or DB sessions.","APIs","2"
"Why is dependency injection useful?","It keeps shared concerns like database sessions and authentication in one reusable, testable place instead of repeating them per endpoint.","APIs","2"
"How do you enable CORS in FastAPI?","Add CORSMiddleware with allow_origins listing permitted frontend domains, plus allowed methods and headers.","APIs","2"
"What is Swagger UI in FastAPI?","The interactive docs at /docs, generated from the OpenAPI schema, where you can try endpoints in the browser.","APIs","2"
"What is /redoc?","An alternative auto-generated documentation page FastAPI serves from the same OpenAPI schema, more read-oriented than Swagger UI.","APIs","2"
"When should an endpoint be async def?","When it awaits non-blocking I/O like async HTTP or database calls; blocking libraries belong in normal def endpoints.","APIs","2"
"What does FastAPI do with normal def endpoints?","Runs them in a threadpool so blocking code does not freeze the event loop serving other requests.","APIs","2"
"200 vs 201 status code?","200 means OK for general success; 201 means Created, returned after successfully creating a resource via POST.","APIs","2"
"When do you return 204?","No Content: the request succeeded but there is nothing to return, common after a DELETE.","APIs","2"
"400 vs 422?","400 is a generally malformed request; 422 means the body was readable but failed validation, FastAPI default for Pydantic errors.","APIs","2"
"401 vs 403?","401 Unauthorized means not authenticated (no valid credentials); 403 Forbidden means authenticated but not allowed to do this.","APIs","2"
"When do you return 404?","When the requested resource does not exist, like an ID not found in the database.","APIs","2"
"What does 409 Conflict mean?","The request conflicts with current state, like creating a resource that already exists or a version mismatch.","APIs","2"
"What does 500 indicate?","Internal Server Error: an unhandled exception on the server side, not the client fault; check logs for the stack trace.","APIs","2"
"What does 429 mean?","Too Many Requests: the client hit a rate limit; back off and retry, often guided by a Retry-After header.","APIs","2"
"What is a custom exception handler in FastAPI?","A function registered with @app.exception_handler that converts a specific exception type into a consistent HTTP response.","APIs","2"
"How does FastAPI validate requests automatically?","From type hints and Pydantic models: it converts and checks path, query, and body data before your function runs.","APIs","2"
"Why store config in environment variables?","Keeps secrets and environment-specific settings out of code, so the same code runs in dev and prod with different values.","APIs","2"
"What does python-dotenv do?","Loads key=value pairs from a .env file into environment variables at startup, convenient for local development.","APIs","2"
"Why must .env be in .gitignore?","It holds secrets like API keys; committing it exposes credentials in repository history to anyone with access.","APIs","2"
"What does pydantic-settings BaseSettings do?","Defines a typed settings class that reads values from environment variables and .env files with validation and defaults.","APIs","2"
"ASGI vs WSGI?","WSGI is the synchronous Python web server interface (Flask); ASGI is its async successor (FastAPI), supporting concurrency and websockets.","APIs","2"
"FastAPI vs Flask in one line?","FastAPI is async-first with built-in validation and auto docs from type hints; Flask is a minimal, synchronous, mature microframework.","APIs","2"
"How do you define a route in Flask?","With the route decorator: @app.route('/items', methods=['GET']) above a view function returning the response.","APIs","2"
"Why is PUT idempotent but POST not?","Repeating a PUT leaves the same final state; repeating a POST typically creates duplicate resources.","APIs","2"
"PATCH vs PUT?","PUT replaces the whole resource with the sent representation; PATCH applies a partial update to specific fields.","APIs","2"
"How is a bearer token sent?","In the Authorization header: Authorization: Bearer <token>. The server validates the token before processing the request.","APIs","2"
"What is API key authentication?","A shared secret sent in a header or query string identifying the caller; simple but should always travel over HTTPS.","APIs","2"
"What is pagination in an API?","Returning results in pages via parameters like limit and offset (or cursors) to avoid huge responses and slow queries.","APIs","2"
"What is API versioning?","Namespacing endpoints like /v1/items so breaking changes ship in /v2 without disrupting existing clients.","APIs","2"
"What does Content-Type: application/json tell the server?","That the request body is JSON, so the framework knows to parse it as such before validation.","APIs","2"
"How do you set a default status code on a FastAPI route?","Pass status_code to the decorator: @app.post('/items', status_code=201) so successful responses use it automatically.","APIs","2"
"What are FastAPI BackgroundTasks?","A way to run work after returning the response, like sending an email, without blocking the client.","APIs","2"
"What is APIRouter?","A mini router for grouping related endpoints in separate files, mounted into the app with app.include_router, often with a prefix.","APIs","2"
"What are lifespan events in FastAPI?","Startup and shutdown hooks for initializing and closing resources like database pools or model clients once per app lifetime.","APIs","2"
"requests vs httpx?","Both are HTTP client libraries; requests is synchronous only, while httpx offers the same style plus async support.","APIs","2"
"Why set timeouts on outbound HTTP calls?","Without a timeout a hung external service can block your request handlers indefinitely; set one and handle the exception.","APIs","2"
"What is an Azure resource group?","A logical container grouping related Azure resources for shared lifecycle, permissions, and billing views; deleting it deletes its contents.","Azure","2"
"Why does Azure region choice matter?","It sets where resources physically run, affecting latency, data residency compliance, service availability, and sometimes price.","Azure","2"
"System-assigned vs user-assigned managed identity?","System-assigned is tied to one resource and dies with it; user-assigned is standalone and shareable across multiple resources.","Azure","2"
"Why prefer managed identity over connection strings?","No secrets to store, rotate, or leak; access is controlled through Azure role assignments instead of embedded credentials.","Azure","2"
"What is an App Service plan?","The compute tier (VM size and count) that hosts web apps or functions; you pay for the plan, not per app.","Azure","2"
"What is the Functions consumption plan?","Serverless billing: instances spin up per event and you pay only for executions and execution time, with automatic scaling.","Azure","2"
"Why choose the Functions premium plan?","Pre-warmed instances remove cold starts, plus VNet integration and longer execution times, at a higher fixed cost.","Azure","2"
"What is a cold start?","The delay when a serverless function scales from zero and the platform must provision and load your code first.","Azure","2"
"Scale up vs scale out?","Scale up means a bigger instance (more CPU/memory); scale out means more instances running in parallel behind a load balancer.","Azure","2"
"What is autoscale?","Rules that add or remove instances automatically based on metrics like CPU, queue length, or request count.","Azure","2"
"What are deployment slots?","Parallel environments (like staging) on an App Service where you deploy and test, then swap into production.","Azure","2"
"Why is slot swap useful?","Near zero-downtime releases: the warmed-up staging slot becomes production instantly, and swapping back is an immediate rollback.","Azure","2"
"Where does Azure Functions configuration live?","In application settings, exposed to code as environment variables; locally, local.settings.json mimics them.","Azure","2"
"What belongs in Azure Key Vault?","Secrets, API keys, certificates, and encryption keys, with access controlled and audited instead of scattering them through configs.","Azure","2"
"What is a Key Vault reference?","An app setting pointing at a Key Vault secret; the platform fetches the value at runtime so the app never stores it.","Azure","2"
"What do Durable Functions add to Azure Functions?","Stateful workflows: orchestrations that chain functions, wait on events or timers, and survive restarts by checkpointing progress.","Azure","2"
"What is an orchestrator function?","The Durable Functions coordinator that defines workflow order; it must be deterministic and delegates real work to activity functions.","Azure","2"
"What is an activity function?","A Durable Functions worker that performs one unit of actual work, called and awaited by the orchestrator.","Azure","2"
"What is the fan-out/fan-in pattern?","The orchestrator starts many activities in parallel, then waits for all results and aggregates them, like processing many documents.","Azure","2"
"How do Durable Functions survive restarts?","They checkpoint history to storage and replay the orchestrator to rebuild state, which is why orchestrators must be deterministic.","Azure","2"
"What is a trigger in Azure Functions?","The event that starts a function: an HTTP request, timer schedule, new blob, or queue message, one trigger per function.","Azure","2"
"What is an HTTP trigger?","Runs the function on an HTTP request, effectively turning it into a serverless API endpoint with an optional auth level.","Azure","2"
"How does a timer trigger schedule runs?","With an NCRONTAB expression (six fields including seconds), like 0 0 9 * * * for daily at 09:00 UTC.","Azure","2"
"What does a blob trigger do?","Runs the function automatically when a file is added or updated in a monitored Blob Storage container.","Azure","2"
"What does a queue trigger do?","Runs the function for each message arriving on a storage queue, with automatic retries and a poison queue for repeated failures.","Azure","2"
"What are input and output bindings?","Declarative connections that hand data to your function or send results out (blob, queue, table) without SDK boilerplate code.","Azure","2"
"What are the Blob Storage access tiers?","Hot for frequent access, cool for infrequent, archive for rarely accessed data; storage gets cheaper but reads get costlier and slower.","Azure","2"
"What is special about the archive tier?","Blobs are offline; you must rehydrate them to hot or cool first, which can take hours before reading.","Azure","2"
"What is a SAS token?","A signed URL granting scoped, time-limited access to storage, like read-only access to one blob for an hour.","Azure","2"
"What is a storage account?","The top-level Azure storage resource providing blobs, queues, tables, and file shares under one namespace and access keys.","Azure","2"
"How does Azure OpenAI differ from the public OpenAI API?","Same models hosted in your Azure tenant, with enterprise security, private networking, regional deployment, and Azure billing and compliance.","Azure","2"
"What is a deployment name in Azure OpenAI?","Your chosen alias for a deployed model version; API calls reference the deployment name, not the raw model name.","Azure","2"
"What is an index in Azure AI Search?","The searchable structure holding your documents fields, like a table optimized for full-text and vector queries.","Azure","2"
"What does an Azure AI Search indexer do?","Automatically pulls data from sources like Blob Storage, extracts text, and populates the index on a schedule.","Azure","2"
"What is vector search in Azure AI Search?","Finding documents by embedding similarity rather than keywords, enabling semantic retrieval for RAG applications.","Azure","2"
"What is semantic ranking in AI Search?","A reranking layer that uses language models to reorder initial results by true relevance to the query.","Azure","2"
"What does Azure Document Intelligence do?","Extracts text, tables, key-value pairs, and layout from documents like PDFs and scans using OCR and prebuilt or custom models.","Azure","2"
"Prebuilt vs custom models in Document Intelligence?","Prebuilt models handle common types like invoices and receipts out of the box; custom models are trained on your own document formats.","Azure","2"
"What can you see in Application Insights for a failed request?","The exception stack trace, correlated dependency calls, timings, and related log traces for that operation end to end.","Azure","2"
"What is KQL used for?","Kusto Query Language queries logs in Application Insights and Log Analytics, filtering and aggregating telemetry for dashboards and debugging.","Azure","2"
"What are Azure Container Apps?","A serverless platform for running containers with autoscaling (including to zero), ingress, and revisions, without managing Kubernetes directly.","Azure","2"
"Container Apps vs Azure Functions: when each?","Functions suit event-driven snippets with bindings; Container Apps suit full containerized services, custom runtimes, or long-running processes.","Azure","2"
"What does scale to zero mean?","When idle, no instances run and compute costs stop; the platform starts instances again when traffic arrives.","Azure","2"
"What is Azure Container Registry?","A private registry for storing and pulling your Docker images, integrated with Azure deployments and CI/CD pipelines.","Azure","2"
"What is Bicep?","Azure infrastructure-as-code language compiling to ARM templates, letting you declare resources in files that deploy repeatably.","Azure","2"
"What is RBAC in Azure?","Role-based access control: assigning roles like Reader or Storage Blob Data Contributor to identities at a chosen scope.","Azure","2"
"What is a service principal?","An application identity in Entra ID used by automation like CI/CD pipelines to authenticate to Azure with assigned roles.","Azure","2"
"What is Microsoft Entra ID?","Azure identity service (formerly Azure Active Directory) managing users, apps, and authentication across Azure and Microsoft 365.","Azure","2"
"How do apps authenticate to Azure AI services?","Either an endpoint plus API key from configuration, or preferably Entra ID tokens via managed identity with RBAC roles.","Azure","2"
"What is Azure Event Grid?","A pub/sub service routing events, like blob-created notifications, to handlers such as Functions with near real-time delivery.","Azure","2"
"Queue Storage vs Service Bus?","Queue Storage is simple, cheap queuing; Service Bus adds ordering, topics with subscriptions, duplicate detection, and transactions.","Azure","2"
"How does consumption billing work for serverless?","You pay per execution count and compute duration (like GB-seconds), with a monthly free grant and zero cost when idle.","Azure","2"
"What is a private endpoint?","A private IP for an Azure service inside your VNet, so traffic avoids the public internet entirely.","Azure","2"
"Why does few-shot prompting help?","Examples pin down format, tone, and edge-case handling more precisely than instructions alone, reducing ambiguity.","AI-LLM","2"
"What is the system role in a chat API?","A message setting overall behavior, persona, rules, and constraints for the whole conversation, processed before user messages.","AI-LLM","2"
"What is the user role?","Messages representing the human input: the questions, data, and instructions the model should respond to.","AI-LLM","2"
"What is the assistant role used for in the message list?","Storing the model prior replies; you resend them as history, and can seed them to steer format or continue output.","AI-LLM","2"
"What belongs in a system prompt?","Stable instructions: role, tone, output rules, safety constraints, and domain context, kept separate from per-request user content.","AI-LLM","2"
"What does max_tokens control?","The maximum length of the generated response; hitting the cap truncates output mid-answer, so size it to the task.","AI-LLM","2"
"What does top_p do?","Nucleus sampling: the model samples only from the smallest set of tokens whose combined probability reaches p, limiting randomness.","AI-LLM","2"
"Should you tune temperature and top_p together?","Common guidance is to adjust one and leave the other at default, since both control sampling randomness.","AI-LLM","2"
"What does frequency penalty do?","Reduces the probability of tokens proportionally to how often they already appeared, cutting down repetitive phrasing.","AI-LLM","2"
"What does presence penalty do?","Penalizes any token that has appeared at all, nudging the model toward introducing new topics and words.","AI-LLM","2"
"What is streaming in LLM APIs?","Receiving the response token by token as generated (server-sent events) instead of waiting for the full completion.","AI-LLM","2"
"Why stream LLM responses to users?","Perceived latency drops dramatically: users see text immediately, even though total generation time is unchanged.","AI-LLM","2"
"What are TPM and RPM limits?","Tokens per minute and requests per minute quotas on the API; exceeding either returns 429 errors.","AI-LLM","2"
"How should your code handle a 429 from an LLM API?","Catch it and retry after a delay, respecting any Retry-After header, rather than failing the request immediately.","AI-LLM","2"
"What is exponential backoff?","Retrying with increasing waits, like 1s, 2s, 4s, usually with jitter, to avoid hammering an overloaded service.","AI-LLM","2"
"Why add jitter to retry delays?","Randomizing waits prevents many clients from retrying in synchronized waves that re-overload the service.","AI-LLM","2"
"How are tools described to the model?","With a name, description, and JSON Schema for parameters; clear descriptions strongly affect when the model chooses the tool.","AI-LLM","2"
"What is the tool-calling loop?","Model requests a tool call, your code runs it, you append the result as a message, and the model continues.","AI-LLM","2"
"What is structured output or JSON mode?","Constraining the model to emit valid JSON, often matching a provided schema, so responses parse reliably into code.","AI-LLM","2"
"Why use structured outputs instead of parsing free text?","Free text breaks parsers unpredictably; schema-constrained JSON gives dependable fields you can validate with Pydantic.","AI-LLM","2"
"How do you reduce hallucinations?","Ground answers in retrieved sources, allow the model to say it does not know, lower temperature, and cite passages.","AI-LLM","2"
"What are the runtime steps of a RAG query?","Embed the user question, retrieve relevant chunks from the index, insert them into the prompt, then generate a grounded answer.","AI-LLM","2"
"Why chunk documents for RAG?","Whole documents exceed context limits and dilute relevance; small chunks let retrieval return just the passages that matter.","AI-LLM","2"
"What is top-k retrieval?","Returning the k most similar chunks to the query embedding; k balances context richness against noise and token cost.","AI-LLM","2"
"What is cosine similarity used for?","Measuring the angle between embedding vectors to score semantic closeness, the standard metric for vector retrieval.","AI-LLM","2"
"What is reranking in retrieval?","A second-pass model rescores the initial candidates against the query, promoting truly relevant chunks before prompting.","AI-LLM","2"
"What is context window management?","Budgeting prompt tokens across system instructions, history, and retrieved content so the total stays under the model limit.","AI-LLM","2"
"What is a prompt template?","A reusable prompt with placeholders, like {question} and {context}, filled at runtime for consistent, maintainable prompting.","AI-LLM","2"
"What is role or persona prompting?","Telling the model to act as a specific expert, like a copy editor, to shape vocabulary, depth, and style.","AI-LLM","2"
"Where should key instructions go in a long prompt?","State them clearly up front and restate critical constraints near the end; buried mid-prompt instructions get missed most.","AI-LLM","2"
"How do you control output format via prompt?","Specify it explicitly, show a small example, and forbid extra commentary, like respond only with a JSON object.","AI-LLM","2"
"What is LangChain?","A Python framework providing building blocks for LLM apps: prompt templates, model wrappers, retrievers, chains, and agents.","AI-LLM","2"
"What is a chain in LangChain?","A fixed pipeline of steps, like prompt template into model into output parser, composed and run as one unit.","AI-LLM","2"
"What is an agent in LLM systems?","A loop where the model decides which tools to call, observes results, and iterates until it completes the goal.","AI-LLM","2"
"Agent vs chain?","A chain follows a predetermined sequence; an agent chooses its next step dynamically based on intermediate results.","AI-LLM","2"
"What is orchestration in an LLM app?","The application code coordinating retrieval, prompt assembly, model calls, tool execution, and validation into one workflow.","AI-LLM","2"
"How do chat models remember conversation history?","They do not; your app resends prior messages with each request, so memory is whatever context you include.","AI-LLM","2"
"What is tiktoken used for?","Counting tokens for OpenAI models before sending, to estimate cost and keep prompts within context limits.","AI-LLM","2"
"How do you keep long conversations under the context limit?","Trim oldest turns, summarize earlier history into a compact note, or retrieve only relevant past messages.","AI-LLM","2"
"What are LLM evals?","Systematic tests scoring model outputs on curated cases, via assertions, rubrics, or LLM judges, to catch regressions.","AI-LLM","2"
"How do you mitigate prompt injection?","Separate data from instructions with delimiters, restrict tool permissions, validate outputs, and never trust retrieved text as commands.","AI-LLM","2"
"Fine-tuning vs RAG?","RAG injects fresh knowledge at query time; fine-tuning bakes style or task behavior into weights. Knowledge updates favor RAG.","AI-LLM","2"
"When is fine-tuning the right choice?","For consistent style, format, or classification behavior that prompting cannot achieve, with enough quality examples available.","AI-LLM","2"
"Embedding model vs chat model?","Embedding models turn text into vectors for search and similarity; chat models generate text. RAG uses both.","AI-LLM","2"
"Semantic search vs keyword search?","Keyword search matches exact terms; semantic search matches meaning via embeddings, finding relevant text with different wording.","AI-LLM","2"
"Why keep secrets out of prompts?","Prompt content can leak through model output, logs, or injection attacks; treat prompts as untrusted output channels.","AI-LLM","2"
"What does the seed parameter do?","Requests reproducible sampling, so identical inputs give near-identical outputs, useful for testing; determinism is best-effort, not guaranteed.","AI-LLM","2"
"How do you choose between a large and small model?","Use small, cheap, fast models for simple high-volume tasks; reserve larger models for complex reasoning. Test both on real cases.","AI-LLM","2"
"How is LLM API usage billed?","Per token, counting both input (prompt) and output (completion), with different rates; long prompts and outputs drive cost.","AI-LLM","2"
"How do you summarize a document longer than the context window?","Map-reduce: summarize each chunk separately, then summarize the summaries; or refine iteratively chunk by chunk.","AI-LLM","2"
"What does pypdf do?","A pure-Python library for reading PDFs: extracting text and metadata, merging, splitting, and rotating pages.","Documents-Data","2"
"Why does pypdf fail on some PDFs?","Scanned PDFs are images with no text layer; they need OCR, like Azure Document Intelligence, to extract text.","Documents-Data","2"
"Why is extracted PDF text often messy?","PDFs store positioned glyphs, not logical text flow, so columns, tables, headers, and hyphenation scramble extraction order.","Documents-Data","2"
"What does python-docx do?","Reads and writes Word .docx files programmatically, giving access to paragraphs, runs, tables, and styles.","Documents-Data","2"
"How do you get text from a Word document with python-docx?","Iterate doc.paragraphs and read each .text; iterate doc.tables for cell content, since tables are stored separately.","Documents-Data","2"
